,id,player_name,position,games,season,team,goals,shots,xG,assists,xA,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
562,1791,Trent Alexander-Arnold,DR,29,2018,Liverpool,1,29,1.4922779146581888,12,7.21885472536087,48,3,0,1,1.4922779146581888,14.109513361006975,10.70944832637906
563,1791,Trent Alexander-Arnold,DR,19,2017,Liverpool,1,12,0.926313784904778,1,2.5219204239547253,25,3,0,1,0.926313784904778,9.207862701267004,7.057703331112862
564,1791,Trent Alexander-Arnold,DR,7,2016,Liverpool,0,3,0.2043776847422123,0,0.030382495373487473,1,0,0,0,0.2043776847422123,0.27751705050468445,0.04275687038898468
565,1822,Antonio Rüdiger,DC,23,2021,Chelsea,2,27,1.688492489978671,0,0.7046160791069269,11,5,0,2,1.688492489978671,12.252203425392509,11.533718936145306
566,1822,Antonio Rüdiger,DC,19,2020,Chelsea,1,14,1.1399364518001676,0,0.3058073613792658,4,0,0,1,1.1399364518001676,9.137650460004807,9.044836282730103
567,1822,Antonio Rüdiger,DC,20,2019,Chelsea,2,12,0.9304546974599361,0,1.1775134578347206,5,3,0,2,0.9304546974599361,6.220131253823638,6.190619096159935
568,1822,Antonio Rüdiger,DC,33,2018,Chelsea,1,27,2.6610582722350955,0,0.9047856125980616,8,7,0,1,2.6610582722350955,8.752737902104855,7.82480095513165
569,1822,Antonio Rüdiger,DC,27,2017,Chelsea,2,16,2.0695590935647488,1,0.5013574361801147,3,4,0,2,2.0695590935647488,9.169896407052875,9.077279394492507
570,1822,Antonio Rüdiger,DC,26,2016,Roma,0,10,0.7246926287189126,2,0.9243021961301565,12,7,1,0,0.7246926287189126,9.5288369320333,9.146169435232878
571,1822,Antonio Rüdiger,DC,30,2015,Roma,2,19,1.9258534265682101,0,0.8804481290280819,7,4,0,2,1.9258534265682101,8.10542357712984,7.344369150698185
572,1822,Antonio Rüdiger,DC,19,2014,VfB Stuttgart,0,17,1.126311738975346,1,0.7620464563369751,1,2,0,0,1.126311738975346,2.5202064644545317,2.3676343392580748
573,2203,Emiliano Buendía,AMC,19,2021,Aston Villa,2,25,1.6692818943411112,3,2.4442235231399536,26,1,0,2,1.6692818943411112,5.642569737508893,3.198835387825966
574,2203,Emiliano Buendía,AMR,36,2019,Norwich,1,40,2.169868305325508,7,7.19096221216023,83,6,1,1,2.169868305325508,12.547948561608791,7.511154666543007
575,2203,Emiliano Buendía,Sub,17,2015,Getafe,1,13,1.0404338240623474,0,0.250736266374588,5,5,1,1,1.0404338240623474,3.046124953776598,1.87426233664155
576,2203,Emiliano Buendía,Sub,6,2014,Getafe,0,2,0.05459091439843178,0,0.09408841282129288,1,1,0,0,0.05459091439843178,0.19805052876472473,0.049371201545000076
577,2254,Mateo Kovacic,MC,16,2021,Chelsea,2,16,1.3848788533359766,5,3.0946321580559015,18,3,0,2,1.3848788533359766,9.340332858264446,7.132001183927059
578,2254,Mateo Kovacic,DMC,27,2020,Chelsea,0,23,0.9314172859303653,1,1.9152584234252572,21,4,0,0,0.9314172859303653,14.808724199421704,13.03579165134579
579,2254,Mateo Kovacic,DMC,31,2019,Chelsea,1,21,0.9726598635315895,3,1.8484531957656145,28,8,0,1,0.9726598635315895,10.112222500145435,9.035377033054829
580,2254,Mateo Kovacic,Sub,32,2018,Chelsea,0,28,2.017641892656684,2,2.013349941931665,25,3,0,0,2.017641892656684,8.756808152422309,6.00314780883491
581,2254,Mateo Kovacic,Sub,21,2017,Real Madrid,0,9,0.345842607319355,1,0.6701100068166852,10,2,0,0,0.345842607319355,7.848400441929698,7.3368109334260225
582,2254,Mateo Kovacic,MC,27,2016,Real Madrid,1,14,0.9021350480616093,3,2.23055630736053,17,2,0,1,0.9021350480616093,12.305013835430145,10.030103541910648
583,2254,Mateo Kovacic,Sub,25,2015,Real Madrid,0,10,1.0040361527353525,2,1.7098263911902905,18,4,1,0,1.0040361527353525,6.333435734733939,4.357369253411889
584,2254,Mateo Kovacic,AMC,35,2014,Inter,5,41,3.3099310863763094,3,4.301944140344858,62,3,1,5,3.3099310863763094,14.824425488710403,9.524284334853292
